feature_set,horizon,suite,episodes,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared
vlm_action_expert,0,libero_goal,100,0.17,0.15809005686192706,0.47129695251594617,0.1611824113805902,0.2072105043527301,0.5109851169383417,0.5853658536585366,8,123,0.7216950775560053
vlm_action_expert,0,libero_object,100,0.33,0.39250712544079736,0.6074174581637268,0.2527543218862775,0.4944798373724879,0.5938489371325193,0.6094674556213018,9,169,0.541175212826972
vlm_action_expert,0,libero_spatial,100,0.39,0.41900219649747283,0.4901218999579655,0.30386794191681366,0.3804784690051341,0.4686843211433375,0.46745562130177515,8,169,0.9114501434626694
vlm_final,0,libero_10,100,0.56,0.6309898349553679,0.6245941558441558,0.2899168142818824,0.6351996097774303,0.5507305194805194,0.5308641975308642,8,162,0.7268386516409674
vlm_final,0,libero_goal,100,0.17,0.26547054513035956,0.5839829907866761,0.1466816343524112,0.31087993681106457,0.6456413890857547,0.7235772357723578,8,123,0.3926520804626748
vlm_final,0,libero_object,100,0.33,0.4292899662978117,0.5192220714608774,0.26205992525325505,0.3876372088450565,0.4694708276797829,0.46745562130177515,9,169,0.5209299179721198
vlm_final,0,libero_spatial,100,0.39,0.36458597780978697,0.3135771332492644,0.30831191124781143,0.33933606342755207,0.426649852879361,0.378698224852071,8,169,0.7086430992566257
action_expert_final,50,libero_10,100,0.56,0.7900011986670435,0.6915584415584416,0.2653028467605574,0.6858321117289533,0.5499188311688311,0.5802469135802469,8,162,0.7702554825240775
action_expert_final,50,libero_goal,100,0.17,0.4037752308434884,0.7108433734939759,0.13027845565006496,0.5073493971265104,0.6406803685329554,0.6016260162601627,8,123,0.7635926686212898
action_expert_final,50,libero_object,100,0.33,0.48659530361682557,0.6236996834011759,0.21062487828905296,0.5257401805737894,0.66078697421981,0.6745562130177515,9,169,0.7068157959907388
action_expert_final,50,libero_spatial,100,0.39,0.6446150116240226,0.6973518284993696,0.2227074629577084,0.6204860187346853,0.6612021857923498,0.7396449704142012,8,169,0.5226151194996909
action_uncertainty,50,libero_10,100,0.56,0.6497531942005673,0.5657467532467532,0.250777780925847,0.5674631107829691,0.48417207792207795,0.4876543209876543,8,162,0.6410786010799371
action_uncertainty,50,libero_goal,100,0.17,0.141132990415312,0.3253012048192771,0.24294064135309104,0.19601497842735027,0.39546420978029767,0.3983739837398374,8,123,0.5297841175199257
action_uncertainty,50,libero_object,100,0.33,0.3255786901009625,0.45816372682044326,0.2590447262516128,0.45630562163914856,0.5300768882858435,0.5088757396449705,9,169,0.5645267173177368
action_uncertainty,50,libero_spatial,100,0.39,0.4505844922082351,0.516183270281631,0.25208578346512484,0.4583526080036633,0.5380411937788987,0.5562130177514792,8,169,0.6337106078321425
all_diagnostic_features,50,libero_10,100,0.56,0.7483971540294202,0.698051948051948,0.2645827981315035,0.7223391336160554,0.5998376623376624,0.6172839506172839,8,162,0.8660123847149331
all_diagnostic_features,50,libero_goal,100,0.17,0.31813049463650234,0.6513111268603827,0.13203135791408868,0.48355597723507776,0.7257264351523742,0.6910569105691057,8,123,0.5535297518744102
all_diagnostic_features,50,libero_object,100,0.33,0.46817969536928444,0.6983265490728178,0.2040638112464714,0.5323532887096529,0.6906377204884667,0.7514792899408284,9,169,0.5589369273555751
all_diagnostic_features,50,libero_spatial,100,0.39,0.5962462947765262,0.6855821773854561,0.22220304228731227,0.6045729207285822,0.6288356452290879,0.6745562130177515,8,169,0.7661867816873903
layer_action_expert_layer_03,50,libero_10,100,0.56,0.6262099219066154,0.5535714285714286,0.27495575506721326,0.6234027231159869,0.551948051948052,0.5679012345679012,8,162,0.7293090614304311
layer_action_expert_layer_03,50,libero_goal,100,0.17,0.2662499132655848,0.6562721474131821,0.13596482064080095,0.3826574837224622,0.6605244507441531,0.6178861788617886,8,123,0.5830451625454882
layer_action_expert_layer_03,50,libero_object,100,0.33,0.33275471337734885,0.5133423790140208,0.22938336776765325,0.41136943691542927,0.5843509724106739,0.6331360946745562,9,169,0.4325899869548596
layer_action_expert_layer_03,50,libero_spatial,100,0.39,0.5058393521079431,0.6099201345102985,0.23918049494282823,0.5256691718191688,0.5914249684741488,0.5798816568047337,8,169,0.7538135752236576
layer_action_expert_layer_07,50,libero_10,100,0.56,0.6444544624426786,0.5957792207792207,0.28688793093648335,0.593468440657874,0.5040584415584416,0.47530864197530864,8,162,0.7933576935779445
layer_action_expert_layer_07,50,libero_goal,100,0.17,0.25920906132897675,0.556343019135365,0.14307422413005602,0.3358694243694089,0.5669737774627923,0.4796747967479675,8,123,0.7719908393335574
layer_action_expert_layer_07,50,libero_object,100,0.33,0.553370769270761,0.642243328810493,0.20604728822073934,0.5071006243495043,0.6883763003165988,0.7514792899408284,9,169,0.814584320441574
layer_action_expert_layer_07,50,libero_spatial,100,0.39,0.5337599160552159,0.5901639344262295,0.24436530456456354,0.5600730569925798,0.6103404791929382,0.6627218934911243,8,169,0.6000687799343616
layer_action_expert_layer_11,50,libero_10,100,0.56,0.7469217430901172,0.6603084415584416,0.2818018988370835,0.6416487726179495,0.520698051948052,0.5370370370370371,8,162,0.8275957427963317
layer_action_expert_layer_11,50,libero_goal,100,0.17,0.42692955898494306,0.6583982990786675,0.13758009647837452,0.4929139602506335,0.6428065201984409,0.6504065040650406,8,123,0.878754586888625
layer_action_expert_layer_11,50,libero_object,100,0.33,0.49605409919275634,0.6363636363636362,0.21012855769189417,0.5177233494913904,0.6793306196291271,0.7159763313609467,9,169,0.7331812319173593
layer_action_expert_layer_11,50,libero_spatial,100,0.39,0.477127596909644,0.5931063472047079,0.2433504782088669,0.565003020321554,0.5989911727616646,0.650887573964497,8,169,0.4782700057454479
layer_action_expert_layer_15,50,libero_10,100,0.56,0.7900011986670435,0.6915584415584416,0.2653028467605574,0.6858321117289533,0.5499188311688311,0.5802469135802469,8,162,0.7702554825240775
layer_action_expert_layer_15,50,libero_goal,100,0.17,0.4037752308434884,0.7108433734939759,0.13027845565006496,0.5073493971265104,0.6406803685329554,0.6016260162601627,8,123,0.7635926686212898
layer_action_expert_layer_15,50,libero_object,100,0.33,0.48659530361682557,0.6236996834011759,0.21062487828905296,0.5257401805737894,0.66078697421981,0.6745562130177515,9,169,0.7068157959907388
layer_action_expert_layer_15,50,libero_spatial,100,0.39,0.6446150116240226,0.6973518284993696,0.2227074629577084,0.6204860187346853,0.6612021857923498,0.7396449704142012,8,169,0.5226151194996909
layer_vlm_layer_03,50,libero_10,100,0.56,0.620154652808327,0.5905032467532467,0.2907922653177501,0.6641291002712766,0.609172077922078,0.6728395061728395,8,162,0.8419906640527856
layer_vlm_layer_03,50,libero_goal,100,0.17,0.2981288496393963,0.6456413890857549,0.13706268775893454,0.4207245621309178,0.6888731396172927,0.7235772357723578,8,123,0.5866503178983373
layer_vlm_layer_03,50,libero_object,100,0.33,0.4747675012498319,0.5802804161013116,0.22065749325203474,0.4576100850568273,0.5522388059701493,0.6094674556213018,9,169,0.4598942396285123
layer_vlm_layer_03,50,libero_spatial,100,0.39,0.5364063246080373,0.6242118537200504,0.23352009445664504,0.5135661372057739,0.6010928961748635,0.6568047337278107,8,169,0.5951154154418313
layer_vlm_layer_07,50,libero_10,100,0.56,0.6341141638562798,0.6018668831168831,0.2814680391775885,0.6716825042390037,0.6079545454545454,0.6666666666666666,8,162,0.8035451399838296
layer_vlm_layer_07,50,libero_goal,100,0.17,0.3454525984744946,0.6413890857547838,0.13641784250045574,0.39016813684920304,0.6598157335223246,0.7154471544715447,8,123,0.6162171981527069
layer_vlm_layer_07,50,libero_object,100,0.33,0.46287247618826877,0.5784712799638173,0.21826130406656646,0.44910457402029025,0.5468113975576663,0.5976331360946746,9,169,0.4023574709869883
layer_vlm_layer_07,50,libero_spatial,100,0.39,0.4766592655574804,0.5872215216477512,0.2424894691103875,0.5302871056081303,0.5779739386296763,0.6272189349112426,8,169,0.7115635633656544
layer_vlm_layer_11,50,libero_10,100,0.56,0.6263987776679728,0.6002435064935064,0.2813940859609657,0.6689919117889641,0.6002435064935064,0.6481481481481481,8,162,0.8141190454180577
layer_vlm_layer_11,50,libero_goal,100,0.17,0.3329076747891433,0.6520198440822111,0.13596856557884132,0.4180503240596443,0.6654854712969525,0.7073170731707317,8,123,0.5902347113262038
layer_vlm_layer_11,50,libero_object,100,0.33,0.44790257760994623,0.5567616463138851,0.22561611375688922,0.45129593008461044,0.5377657168701944,0.5798816568047337,9,169,0.44460411380566567
layer_vlm_layer_11,50,libero_spatial,100,0.39,0.4978952138676553,0.592686002522068,0.24374091165207123,0.45936901024566584,0.5611601513240857,0.621301775147929,8,169,0.7215968429985011
