source_condition,target_condition,feature_set,horizon,episodes,prediction_coverage,estimable,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared,mean_failure_probability
clean,wrist_camera_mask,policy_output,50,90,1.0,True,1.0,,,0.33569111673074964,,,,0,0,0.8682811315804951,0.44856238227266515
clean,wrist_camera_mask,robot_state,50,90,1.0,True,1.0,,,0.5366134990500128,,,,0,0,0.9920976747759568,0.3122745607351016
clean,wrist_camera_mask,state_action_history,50,90,1.0,True,1.0,,,0.39220427714807093,,,,0,0,0.8713625163642482,0.40494929377107547
clean,wrist_camera_mask,vlm_final,50,90,1.0,True,1.0,,,0.013044235950614332,,,,0,0,0.6458992312214517,0.9280706999518967
clean,wrist_camera_mask,action_expert_final,100,90,1.0,True,1.0,,,0.00987360663833318,,,,0,0,0.653772958050287,0.924412976685698
clean,wrist_camera_mask,action_uncertainty,100,90,1.0,True,1.0,,,0.25319346315272967,,,,0,0,0.8693324918715784,0.509866917422791
clean,wrist_camera_mask,policy_output,100,90,1.0,True,1.0,,,0.2505933032039737,,,,0,0,0.8721400509106293,0.5126220543539461
clean,wrist_camera_mask,robot_state,100,90,1.0,True,1.0,,,0.4687899455837659,,,,0,0,0.9600751740168708,0.35740226511008694
clean,wrist_camera_mask,state_action_history,100,90,1.0,True,1.0,,,0.27314076009732624,,,,0,0,0.853080481093071,0.5030701174439013
clean,wrist_camera_mask,vlm_final,100,90,1.0,True,1.0,,,0.00935348431990908,,,,0,0,0.6391016116281588,0.9407036714665362
instruction_paraphrase,clean,action_expert_final,0,90,1.0,True,0.34444444444444444,0.3740120746015932,0.5407326407873154,0.2697162918222525,0.3705229854600981,0.4313832695462001,0.39072847682119205,8,151,0.8199137653954961,0.3493744108966141
instruction_paraphrase,clean,action_uncertainty,0,90,1.0,True,0.34444444444444444,0.5422664409472061,0.6593767085839256,0.22379992492366313,0.52933579115271,0.65882996172772,0.6887417218543046,8,151,0.5385495397498377,0.45397464694651135
instruction_paraphrase,clean,policy_output,0,90,1.0,True,0.34444444444444444,0.3150281401129869,0.4559868780754511,0.32903049048295996,0.3466560235226209,0.5051940951339529,0.47019867549668876,8,151,0.9232276036278421,0.47931806213791794
instruction_paraphrase,clean,robot_state,0,90,1.0,True,0.34444444444444444,0.4884981875703289,0.6036085292509568,0.21952838028043586,0.5240474419316878,0.5773646801530891,0.6026490066225165,8,151,0.9981590720976244,0.34506155114169385
instruction_paraphrase,clean,state_action_history,0,90,1.0,True,0.34444444444444444,0.45433087717890047,0.5850191361399671,0.23387887333912954,0.33873501175289034,0.527063969382176,0.5298013245033113,8,151,0.9304740237012651,0.3780292746979781
instruction_paraphrase,clean,vlm_final,0,90,1.0,True,0.34444444444444444,0.3792653198584456,0.4100601421541826,0.29850013473070797,0.4072928376115349,0.44395844723892836,0.4503311258278146,8,151,0.7818470862813268,0.37276892823077024
instruction_paraphrase,clean,action_expert_final,50,90,1.0,True,0.34444444444444444,0.45854229987722334,0.5773646801530891,0.23204630848446842,0.3792413929853809,0.4833242208857299,0.45695364238410596,8,151,0.6128577234804372,0.2467975644791482
instruction_paraphrase,clean,action_uncertainty,50,90,1.0,True,0.34444444444444444,0.5239570548249716,0.6413340623291417,0.23906936221491337,0.534888375255446,0.6107162383816294,0.695364238410596,8,151,0.8145724438569105,0.4866421683359622
instruction_paraphrase,clean,policy_output,50,90,1.0,True,0.34444444444444444,0.34323110652273003,0.5177692728266812,0.25289526232870835,0.33692717469650507,0.4691088026243849,0.45695364238410596,8,151,0.8754265709194493,0.3860352107095991
instruction_paraphrase,clean,robot_state,50,90,1.0,True,0.34444444444444444,0.5040561739013517,0.6899945325314379,0.21027323746285673,0.38907842260392633,0.46692181519956266,0.46357615894039733,8,151,0.9913219197237753,0.3805113667356048
instruction_paraphrase,clean,state_action_history,50,90,1.0,True,0.34444444444444444,0.3977467828459772,0.5893931109896118,0.24633700997560845,0.3517971757301832,0.5314379442318207,0.5629139072847682,8,151,0.9692736433136097,0.32342187645882026
instruction_paraphrase,clean,vlm_final,50,90,1.0,True,0.34444444444444444,0.4037939386316719,0.48660470202296335,0.2737487188432648,0.3957220637516584,0.5166757791142701,0.5629139072847682,8,151,0.7666006205571275,0.3760035359597672
instruction_paraphrase,clean,action_expert_final,100,90,1.0,True,0.34444444444444444,0.6425737551287364,0.7495899398578458,0.17985277056908283,0.6654278793078251,0.7506834335702569,0.7152317880794702,8,151,0.6829472298617019,0.29876729024697657
instruction_paraphrase,clean,action_uncertainty,100,90,1.0,True,0.34444444444444444,0.42288049092437274,0.5757244395844724,0.24372126403357733,0.4648730616587643,0.5418261344997266,0.5761589403973509,8,151,0.7963398985223133,0.4854686147355317
instruction_paraphrase,clean,policy_output,100,90,1.0,True,0.34444444444444444,0.4643595121445213,0.558228540185894,0.22969063840812695,0.3534047953597731,0.5205030071077091,0.5298013245033113,8,151,0.8592757864196028,0.39184853878605186
instruction_paraphrase,clean,robot_state,100,90,1.0,True,0.34444444444444444,0.5134652628711482,0.7042099507927829,0.2196800185471802,0.4533410353362458,0.5358119190814653,0.5165562913907285,8,151,0.9770383983819874,0.43673693974845085
instruction_paraphrase,clean,state_action_history,100,90,1.0,True,0.34444444444444444,0.3798516006531429,0.5718972115910333,0.2451786201530708,0.5104645276243163,0.6167304537998907,0.6622516556291391,8,151,0.9064724596364819,0.39566463677121794
instruction_paraphrase,clean,vlm_final,100,90,1.0,True,0.34444444444444444,0.4994964478747208,0.5965008201202843,0.2417429835223016,0.6340981348896757,0.7020229633679606,0.7284768211920529,8,151,0.7550725197186776,0.40317198812011557
main_camera_blur,clean,action_expert_final,0,90,1.0,True,0.34444444444444444,0.3927900533434675,0.47348277747402956,0.30795338769523123,0.35527105692984795,0.42646254784034987,0.3841059602649007,8,151,0.8276386242333923,0.18131708508018254
