feature_set,horizon,held_out_suite,episodes,failure_prevalence,auprc,auroc,brier,task_centered_auprc,task_centered_auroc,within_task_pairwise_auc,eligible_tasks,comparable_success_failure_pairs,task_eta_squared
policy_output,100,libero_object,100,0.33,0.4238250616242606,0.639981908638625,0.2314473738956993,0.45280212542627496,0.6309362279511533,0.6449704142011834,9,169,0.4151213129166865
policy_output,100,libero_spatial,100,0.39,0.6831330002522714,0.7095418242959227,0.23556703981425753,0.6352979351145585,0.675073560319462,0.6982248520710059,8,169,0.6553536252480758
robot_state,100,libero_10,100,0.56,0.5444846217305935,0.5255681818181818,0.3025236978286156,0.6354957684635743,0.5097402597402597,0.49382716049382713,8,162,0.9855818711469512
robot_state,100,libero_goal,100,0.17,0.17869896626115866,0.49043231750531535,0.23449460504471756,0.3542340278713512,0.6640680368532955,0.6829268292682927,8,123,0.979872242566231
robot_state,100,libero_object,100,0.33,0.41072832782500185,0.5721393034825871,0.6523301449040291,0.29483045906099314,0.42198100407055633,0.38461538461538464,9,169,0.6485298771362152
robot_state,100,libero_spatial,100,0.39,0.501334061534466,0.5615804960067254,0.25257614427538394,0.531573703104754,0.6548970155527534,0.7396449704142012,8,169,0.9291111884187269
state_action_history,100,libero_10,100,0.56,0.6090383390145467,0.5446428571428571,0.2972129874986153,0.6584665404011044,0.5474837662337663,0.5802469135802469,8,162,0.9433525261374047
state_action_history,100,libero_goal,100,0.17,0.31670720488823045,0.593905031892275,0.1770146876311198,0.47477040835499007,0.69950389794472,0.7154471544715447,8,123,0.76741515597787
state_action_history,100,libero_object,100,0.33,0.501099164648456,0.6680235187697874,0.23976012595272114,0.4721325528247835,0.6001809136137494,0.6153846153846154,9,169,0.6094644582190883
state_action_history,100,libero_spatial,100,0.39,0.7085426147073275,0.7116435477091214,0.25796868750834584,0.6824769152684629,0.694829760403531,0.7396449704142012,8,169,0.670304491363448
vlm_final,100,libero_10,100,0.56,0.8859286573303762,0.8311688311688311,0.2561034568460864,0.7776622283058058,0.7077922077922079,0.7469135802469136,8,162,0.5405980686737883
vlm_final,100,libero_goal,100,0.17,0.49456512060680713,0.7101346562721474,0.12590679418111148,0.6308025495957896,0.7533664068036854,0.7560975609756098,8,123,0.6393744462182748
vlm_final,100,libero_object,100,0.33,0.9089614002403739,0.9380370872908187,0.12432581360508575,0.868242439045821,0.9308005427408412,0.9526627218934911,9,169,0.2457354660065975
vlm_final,100,libero_spatial,100,0.39,0.8508066956091682,0.8532997057587222,0.18093869527062317,0.7450384966108454,0.759142496847415,0.7988165680473372,8,169,0.5188900983571078
